wall_time,x_m,y_m,z_m,roll_rad,pitch_rad
1789203268.8505425,0.8811962826191098,4.788867505592516,2.0009198460861097,0.008425653648187644,-0.08517474053435801
1789203268.8564346,0.8811954096257554,4.788965255483991,2.0009530610265176,0.008410854780152298,-0.0850077792926288
1789203268.8598516,0.8811947982301672,4.789028784577868,2.0009745862560764,0.008401149982817413,-0.0848989423289731
1789203268.8663487,0.8811938363680031,4.789121644678923,2.0010059576017185,0.008386827556100453,-0.08473935639921609
1789203268.8697343,0.8811931648834948,4.789181945078252,2.0010262671967673,0.008377434159159926,-0.08463540035185982
1789203268.8764708,0.8811921122695527,4.789270001398974,2.001055833385353,0.008363572536062513,-0.08448309355224286
1789203268.8798497,0.881191379935468,4.789327128340288,2.001074951824695,0.008354481584301845,-0.0843839591648326
1789203268.885473,0.8811902357813289,4.789410469276217,2.0011027494946574,0.008341067025720829,-0.08423883904624797
1789203268.8897884,0.8811894414020868,4.789464477788061,2.0011207005019434,0.00833227028998036,-0.0841444686482559
1789203268.8964548,0.8811881940047583,4.789543187013212,2.0011467683737956,0.008319279284211462,-0.08400643128626221
1789203268.8999634,0.8811873206321875,4.7895941386522605,2.001163582037456,0.008310742400196794,-0.08391671960448366
1789203268.9066558,0.8811859420103342,4.789668309505252,2.0011879676756834,0.008298104795684776,-0.08378557296298039
1789203268.9099753,0.8811849746695699,4.789716267174176,2.0012036752639073,0.008289782770585907,-0.08370039693872439
1789203268.9156284,0.8811834479571178,4.789785996760605,2.00122642439087,0.008277441884351727,-0.08357597591571744
1789203268.9201865,0.8811823783612185,4.789831028108624,2.001241055858397,0.008269302119354085,-0.08349522663599146
1789203269.1309521,0.8811589499306448,4.790415306306794,2.001425214114977,0.008144089980759243,-0.08240325322881066
1789203269.1311834,0.8811572698583621,4.790441636463357,2.0014333771639117,0.00813720905245273,-0.08234975371216889
1789203269.131397,0.8811547286004561,4.790479414972923,2.0014450864999693,0.008127112615665223,-0.08227207763158337
1789203269.1316094,0.8811530162545802,4.79050351405398,2.0014525548591817,0.00812051989407907,-0.08222207817436766
1789203269.131826,0.8811504117805226,4.790538126397612,2.001463288020848,0.00811078829437677,-0.08214971049354554
1789203269.1320403,0.8811486518910938,4.790560234499325,2.0014701464579896,0.008104386630891879,-0.0821031701207023
1789203269.1322498,0.8811459884412522,4.7905920554590224,2.0014800059806026,0.008094926837503269,-0.08203581244536268
1789203269.1324563,0.8811442042053252,4.790612439727774,2.0014863052788563,0.00808872688693751,-0.08199248915589046
1789203269.132663,0.8811415251944976,4.790641875723798,2.0014953666695274,0.008079601955252284,-0.08192980190942377
1789203269.132903,0.8811397418075055,4.790660794139642,2.0015011635699365,0.008073639808709758,-0.08188947601640528
1789203269.133083,0.8811370762993578,4.790688200840155,2.001509518327482,0.008064880386833433,-0.08183104889226418
1789203269.1332037,0.8811353109336066,4.790705880006597,2.0015148808583687,0.008059167792483696,-0.08179337262386253
1789203269.1333196,0.8811326855614904,4.79073161712727,2.001522647034221,0.00805079692289402,-0.08173853872715041
1789203269.133438,0.8811309517664375,4.790748310426075,2.001527656904411,0.008045343032427169,-0.08170297650730529
1789203269.133551,0.8811283771150872,4.790772737829124,2.00153494820234,0.008037342129550281,-0.08165094141010333
1789203269.1338127,0.8811266782210527,4.7907886586694355,2.0015396750397114,0.008032121029222237,-0.08161702626892935
1789203269.1340723,0.8811241558979291,4.790812060987808,2.0015465877046794,0.008024445934769668,-0.0815671706240031
